GeneID	Normal_3
ENSG00000000003	5.194936319
ENSG00000000005	0.078530993
ENSG00000000419	8.292816499
ENSG00000000457	3.673831153
ENSG00000000460	2.959400186
ENSG00000000938	2.135150859
ENSG00000000971	8.853288824
ENSG00000001036	10.57773771
ENSG00000001084	5.251313606
ENSG00000001167	10.56665321
ENSG00000001460	1.289949917
ENSG00000001461	8.071361596
ENSG00000001497	11.10367919
ENSG00000001561	2.922328888
ENSG00000001617	3.305401942
ENSG00000001626	3.676612659
ENSG00000001629	6.374943371
ENSG00000001630	23.56559485
ENSG00000001631	8.691889826
ENSG00000002016	2.273212984
ENSG00000002079	0.780339355
ENSG00000002330	9.734302831
ENSG00000002549	14.09657264
ENSG00000002586	14.75843829
ENSG00000002587	0.580615812
ENSG00000002726	0.95884207
ENSG00000002745	0.096929545
ENSG00000002746	0.122224929
ENSG00000002822	10.53624159
ENSG00000002834	34.36178607
ENSG00000002919	1.899211602
ENSG00000002933	2.616646375
ENSG00000003056	10.09827762
ENSG00000003096	0.265556139
ENSG00000003137	0.08823971
ENSG00000003147	18.19015008
ENSG00000003249	0.589378574
ENSG00000003393	3.06021809
ENSG00000003400	5.682747836
ENSG00000003402	11.26254028
ENSG00000003436	2.1748875
ENSG00000003509	4.074821455
ENSG00000003756	32.84648928
ENSG00000003987	0.621956637
ENSG00000003989	1.714055242
ENSG00000004059	4.628963437
ENSG00000004139	1.835351414
ENSG00000004142	12.1705761
ENSG00000004399	4.529134043
ENSG00000004455	10.66318426
ENSG00000004468	2.271708983
ENSG00000004478	29.23705341
ENSG00000004487	11.51135282
ENSG00000004534	52.63792021
ENSG00000004660	1.175108842
ENSG00000004700	5.616725932
ENSG00000004766	3.162878532
ENSG00000004776	3.781299248
ENSG00000004777	0.444685482
ENSG00000004779	8.810932033
ENSG00000004799	5.852172251
ENSG00000004838	0.283839883
ENSG00000004846	0.004552767
ENSG00000004848	0.870932466
ENSG00000004864	8.843627042
ENSG00000004866	2.316035307
ENSG00000004897	4.279962148
ENSG00000004939	0.027900016
ENSG00000004961	6.470651155
ENSG00000004975	1.705492565
ENSG00000005001	3.05449484
ENSG00000005007	10.31326532
ENSG00000005020	3.076887944
ENSG00000005022	46.28922141
ENSG00000005059	2.552807834
ENSG00000005075	7.060448242
ENSG00000005100	2.939094641
ENSG00000005102	1.572457187
ENSG00000005108	0.512881373
ENSG00000005156	4.448073509
ENSG00000005175	5.509939388
ENSG00000005187	2.252185623
ENSG00000005189	1.92080243
ENSG00000005194	6.371588676
ENSG00000005206	6.206481725
ENSG00000005238	1.482866269
ENSG00000005243	0.85382833
ENSG00000005249	2.015501519
ENSG00000005302	3.659138091
ENSG00000005339	8.89173913
ENSG00000005379	4.363344018
ENSG00000005381	0.011952628
ENSG00000005421	0.141376123
ENSG00000005436	4.650213125
ENSG00000005448	1.002048152
ENSG00000005469	1.832573854
ENSG00000005471	0.278379482
ENSG00000005483	26.99405413
ENSG00000005486	1.795606925
ENSG00000005513	0.180675623
ENSG00000005700	13.5731725
ENSG00000005801	3.620967947
ENSG00000005810	15.36857366
ENSG00000005812	8.239156446
ENSG00000005844	6.91237358
ENSG00000005882	2.529774482
ENSG00000005884	10.89096101
ENSG00000005889	8.599681089
ENSG00000005893	4.961147417
ENSG00000005961	0.087311676
ENSG00000006007	8.80883242
ENSG00000006015	5.058646558
ENSG00000006016	1.801425004
ENSG00000006025	9.051676817
ENSG00000006042	1.507208649
ENSG00000006047	0.935439379
ENSG00000006062	4.965644962
ENSG00000006071	0.70262337
ENSG00000006118	3.086534809
ENSG00000006125	14.53715263
ENSG00000006194	4.193257274
ENSG00000006210	1.120014985
ENSG00000006282	6.313453367
ENSG00000006283	0.034726515
ENSG00000006327	1.128883028
ENSG00000006432	1.36615566
ENSG00000006451	33.54923313
ENSG00000006453	26.14077114
ENSG00000006459	8.527316633
ENSG00000006468	0.425131212
ENSG00000006530	3.411766027
ENSG00000006534	1.920884372
ENSG00000006555	3.866478749
ENSG00000006576	1.632959026
ENSG00000006607	4.272101289
ENSG00000006611	18.42123479
ENSG00000006625	9.091384419
ENSG00000006634	2.924307071
ENSG00000006638	0.128260728
ENSG00000006652	3.376549583
ENSG00000006695	2.996119142
ENSG00000006704	2.052767291
ENSG00000006712	37.87992105
ENSG00000006715	11.42360356
ENSG00000006740	1.28056034
ENSG00000006744	11.1988043
ENSG00000006747	2.850033862
ENSG00000006756	19.3369259
ENSG00000006757	2.847632863
ENSG00000006788	0.331902397
ENSG00000006831	11.70852843
ENSG00000006837	0.372232284
ENSG00000007001	0.01425261
ENSG00000007047	3.678519861
ENSG00000007062	4.07333311
ENSG00000007080	40.39315753
ENSG00000007129	0.718867807
ENSG00000007168	13.92386302
ENSG00000007171	0.020184371
ENSG00000007174	0.028543411
ENSG00000007202	20.80094821
ENSG00000007237	2.365959994
ENSG00000007255	5.01403137
ENSG00000007264	0.656447798
ENSG00000007312	2.360523357
ENSG00000007314	0.028106865
ENSG00000007341	2.208311023
ENSG00000007372	0.086958563
ENSG00000007376	1.407876269
ENSG00000007384	1.826796467
ENSG00000007392	12.25588724
ENSG00000007402	1.259949169
ENSG00000007516	1.268600517
ENSG00000007520	33.02429385
ENSG00000007541	0.831808547
ENSG00000007545	4.386640177
ENSG00000007866	3.583567397
