GeneID	GCa_1
ENSG00000000003	1.566149839
ENSG00000000005	0.168377259
ENSG00000000419	5.899388577
ENSG00000000457	3.431751793
ENSG00000000460	2.713751166
ENSG00000000938	2.24735657
ENSG00000000971	11.67112463
ENSG00000001036	5.875339461
ENSG00000001084	3.090026767
ENSG00000001167	9.96808687
ENSG00000001460	1.431190211
ENSG00000001461	10.12205631
ENSG00000001497	13.57781279
ENSG00000001561	1.317259714
ENSG00000001617	0.981142357
ENSG00000001626	4.827394652
ENSG00000001629	8.28850634
ENSG00000001630	10.16300445
ENSG00000001631	10.93846051
ENSG00000002016	1.893514122
ENSG00000002079	0.259154871
ENSG00000002330	4.772069134
ENSG00000002549	12.55286197
ENSG00000002586	32.51287613
ENSG00000002587	0.453693479
ENSG00000002726	0.73254088
ENSG00000002745	0.144092243
ENSG00000002746	0.04917685
ENSG00000002822	8.716290603
ENSG00000002834	14.85266584
ENSG00000002919	1.994689956
ENSG00000002933	2.519447779
ENSG00000003056	9.856853159
ENSG00000003096	0.887707991
ENSG00000003137	0.230635995
ENSG00000003147	6.906049546
ENSG00000003249	0.286685332
ENSG00000003393	2.581038738
ENSG00000003400	2.328635177
ENSG00000003402	16.60448846
ENSG00000003436	5.456923825
ENSG00000003509	4.316410131
ENSG00000003756	28.66881586
ENSG00000003987	0.549286927
ENSG00000003989	0.99221527
ENSG00000004059	1.970490889
ENSG00000004139	2.635335161
ENSG00000004142	6.15197526
ENSG00000004399	7.982110278
ENSG00000004455	6.415466577
ENSG00000004468	2.433393217
ENSG00000004478	10.82953986
ENSG00000004487	10.56750339
ENSG00000004534	58.98186344
ENSG00000004660	1.557973484
ENSG00000004700	9.179754619
ENSG00000004766	3.110212097
ENSG00000004776	108.0781225
ENSG00000004777	0.797113734
ENSG00000004779	4.834391722
ENSG00000004799	8.886275316
ENSG00000004838	0.279494769
ENSG00000004846	0.28894122
ENSG00000004848	0.011670967
ENSG00000004864	8.451691198
ENSG00000004866	2.168591867
ENSG00000004897	4.197670059
ENSG00000004939	0.013673155
ENSG00000004961	4.148546439
ENSG00000004975	2.320710709
ENSG00000005001	2.763493813
ENSG00000005007	7.189069368
ENSG00000005020	10.45388918
ENSG00000005022	9.951919158
ENSG00000005059	2.721516665
ENSG00000005075	7.975904403
ENSG00000005100	1.825100137
ENSG00000005102	6.50930185
ENSG00000005108	1.522990714
ENSG00000005156	5.093424018
ENSG00000005175	6.424954097
ENSG00000005187	0.390469345
ENSG00000005189	0.79511938
ENSG00000005194	2.647267342
ENSG00000005206	3.30526369
ENSG00000005238	1.58758203
ENSG00000005243	3.436800287
ENSG00000005249	9.195290839
ENSG00000005302	4.698959312
ENSG00000005339	11.34022068
ENSG00000005379	5.477139899
ENSG00000005381	0.020501977
ENSG00000005421	0.65091604
ENSG00000005436	4.42139476
ENSG00000005448	1.118472433
ENSG00000005469	2.649712686
ENSG00000005471	0.412382733
ENSG00000005483	38.75865371
ENSG00000005486	1.340074202
ENSG00000005513	0.163109137
ENSG00000005700	5.354198625
ENSG00000005801	2.887040302
ENSG00000005810	16.47776073
ENSG00000005812	7.816442287
ENSG00000005844	8.391198967
ENSG00000005882	2.189406124
ENSG00000005884	7.000740023
ENSG00000005889	7.113406609
ENSG00000005893	3.944159583
ENSG00000005961	0.120461578
ENSG00000006007	5.664023892
ENSG00000006015	3.201566164
ENSG00000006016	1.32938811
ENSG00000006025	1.168717176
ENSG00000006042	1.111456542
ENSG00000006047	0.950977838
ENSG00000006062	9.965812206
ENSG00000006071	0.053326918
ENSG00000006118	2.711743808
ENSG00000006125	9.332809449
ENSG00000006194	4.317100781
ENSG00000006210	0.65849964
ENSG00000006282	3.051024109
ENSG00000006283	0.113546404
ENSG00000006327	4.557241053
ENSG00000006432	0.698911987
ENSG00000006451	14.30512974
ENSG00000006453	11.74071673
ENSG00000006459	4.980955227
ENSG00000006468	0.922794694
ENSG00000006530	3.157924443
ENSG00000006534	1.712877338
ENSG00000006555	0.692455531
ENSG00000006576	2.55013194
ENSG00000006607	2.101540088
ENSG00000006611	5.502086293
ENSG00000006625	5.047170707
ENSG00000006634	1.707481828
ENSG00000006638	0.090588934
ENSG00000006652	2.529038864
ENSG00000006695	1.646579542
ENSG00000006704	1.94964869
ENSG00000006712	40.31087046
ENSG00000006715	10.75407125
ENSG00000006740	0.652331102
ENSG00000006744	7.966707848
ENSG00000006747	0.687261606
ENSG00000006756	4.329171726
ENSG00000006757	0.913866225
ENSG00000006788	0.074009262
ENSG00000006831	5.6634112
ENSG00000006837	1.211927035
ENSG00000007001	0.232247113
ENSG00000007047	4.412420164
ENSG00000007062	7.01846726
ENSG00000007080	26.36841966
